,state,rank_guns_sold,total_guns_sold,rank_injuries,total_injuries
0,Kentucky,1,20519654.0,22,2960.0
1,Illinois,2,10228711.0,1,16923.0
2,California,3,9848399.0,2,13206.0
3,Texas,4,9516328.0,3,11152.0
4,Florida,5,7170521.0,4,10981.0
5,Pennsylvania,6,6165215.0,6,7451.0
6,Indiana,7,5484821.0,18,4564.0
7,Ohio,8,4372092.0,5,8211.0
8,Tennessee,9,3965283.0,11,6302.0
9,North Carolina,10,3958021.0,7,6854.0
10,Alabama,11,3491280.0,14,4878.0
11,Washington,12,3466492.0,26,2140.0
12,Minnesota,13,3465361.0,33,1377.0
13,Missouri,14,3322423.0,12,5721.0
14,Georgia,15,3283583.0,10,6512.0
15,Michigan,16,3011796.0,17,4578.0
16,Colorado,17,2944283.0,28,1929.0
17,Virginia,18,2907143.0,13,5025.0
18,Wisconsin,19,2693138.0,21,2979.0
19,New York,20,2210420.0,8,6764.0
20,Arizona,21,2184197.0,24,2190.0
21,Oklahoma,22,2119637.0,23,2491.0
22,Louisiana,23,2069257.0,9,6577.0
23,South Carolina,24,2033103.0,16,4694.0
24,Utah,25,1704472.0,40,684.0
25,Connecticut,26,1549546.0,31,1599.0
26,Oregon,27,1544727.0,34,1140.0
27,Mississippi,28,1474203.0,20,3059.0
28,West Virginia,29,1426609.0,38,984.0
29,Arkansas,30,1243710.0,27,2120.0
30,Kansas,31,1146177.0,32,1473.0
31,Massachusetts,32,990628.0,25,2173.0
32,Maryland,33,974579.0,15,4858.0
33,New Mexico,34,921873.0,37,1038.0
34,Iowa,35,826748.0,35,1094.0
35,Idaho,36,814450.0,43,315.0
36,Nevada,37,796155.0,30,1750.0
37,New Hampshire,38,676636.0,46,232.0
38,Montana,39,627423.0,44,290.0
39,New Jersey,40,621141.0,19,3708.0
40,South Dakota,41,485114.0,47,204.0
41,Maine,42,479361.0,45,244.0
42,Nebraska,43,476919.0,39,899.0
43,Alaska,44,420491.0,41,592.0
44,North Dakota,45,341324.0,48,199.0
45,Wyoming,46,303857.0,51,125.0
46,Delaware,47,291220.0,36,1070.0
47,Vermont,48,184667.0,50,130.0
48,Rhode Island,49,146660.0,42,409.0
49,Hawaii,50,74026.0,49,148.0
50,District of Columbia,51,7410.0,29,1874.0
